TOTALCRIME,C_MONTH,H_YEAR,WARD
155,February,2005,1
310,February,2005,2
271,February,2005,3
166,February,2005,4
175,February,2005,5
236,February,2005,6
174,February,2005,7
209,February,2005,8
196,February,2005,9
111,February,2005,10
105,February,2005,11
98,February,2005,12
78,February,2005,13
110,February,2005,14
194,February,2005,15
194,February,2005,16
233,February,2005,17
109,February,2005,18
60,February,2005,19
263,February,2005,20
224,February,2005,21
81,February,2005,22
126,February,2005,23
264,February,2005,24
95,February,2005,25
139,February,2005,26
277,February,2005,27
352,February,2005,28
165,February,2005,29
104,February,2005,30
107,February,2005,31
95,February,2005,32
73,February,2005,33
245,February,2005,34
102,February,2005,35
65,February,2005,36
168,February,2005,37
79,February,2005,38
58,February,2005,39
73,February,2005,40
55,February,2005,41
245,February,2005,42
63,February,2005,43
80,February,2005,44
69,February,2005,45
105,February,2005,46
86,February,2005,47
85,February,2005,48
111,February,2005,49
71,February,2005,50
143,February,2006,1
277,February,2006,2
256,February,2006,3
142,February,2006,4
163,February,2006,5
219,February,2006,6
178,February,2006,7
176,February,2006,8
163,February,2006,9
124,February,2006,10
101,February,2006,11
88,February,2006,12
93,February,2006,13
93,February,2006,14
225,February,2006,15
207,February,2006,16
218,February,2006,17
140,February,2006,18
64,February,2006,19
279,February,2006,20
199,February,2006,21
64,February,2006,22
97,February,2006,23
274,February,2006,24
96,February,2006,25
142,February,2006,26
285,February,2006,27
345,February,2006,28
165,February,2006,29
117,February,2006,30
130,February,2006,31
102,February,2006,32
85,February,2006,33
222,February,2006,34
113,February,2006,35
80,February,2006,36
176,February,2006,37
59,February,2006,38
63,February,2006,39
113,February,2006,40
60,February,2006,41
223,February,2006,42
69,February,2006,43
71,February,2006,44
72,February,2006,45
104,February,2006,46
98,February,2006,47
68,February,2006,48
105,February,2006,49
87,February,2006,50
112,February,2007,1
278,February,2007,2
198,February,2007,3
160,February,2007,4
169,February,2007,5
212,February,2007,6
181,February,2007,7
204,February,2007,8
163,February,2007,9
92,February,2007,10
88,February,2007,11
70,February,2007,12
50,February,2007,13
87,February,2007,14
168,February,2007,15
157,February,2007,16
246,February,2007,17
132,February,2007,18
68,February,2007,19
186,February,2007,20
207,February,2007,21
69,February,2007,22
82,February,2007,23
255,February,2007,24
70,February,2007,25
97,February,2007,26
218,February,2007,27
293,February,2007,28
169,February,2007,29
98,February,2007,30
89,February,2007,31
94,February,2007,32
50,February,2007,33
193,February,2007,34
83,February,2007,35
59,February,2007,36
158,February,2007,37
56,February,2007,38
53,February,2007,39
71,February,2007,40
64,February,2007,41
240,February,2007,42
74,February,2007,43
65,February,2007,44
43,February,2007,45
79,February,2007,46
72,February,2007,47
46,February,2007,48
81,February,2007,49
58,February,2007,50
140,February,2008,1
224,February,2008,2
195,February,2008,3
130,February,2008,4
148,February,2008,5
203,February,2008,6
206,February,2008,7
184,February,2008,8
156,February,2008,9
104,February,2008,10
93,February,2008,11
85,February,2008,12
93,February,2008,13
114,February,2008,14
183,February,2008,15
185,February,2008,16
240,February,2008,17
123,February,2008,18
45,February,2008,19
174,February,2008,20
224,February,2008,21
80,February,2008,22
113,February,2008,23
227,February,2008,24
91,February,2008,25
124,February,2008,26
224,February,2008,27
322,February,2008,28
155,February,2008,29
94,February,2008,30
90,February,2008,31
123,February,2008,32
51,February,2008,33
214,February,2008,34
95,February,2008,35
63,February,2008,36
171,February,2008,37
82,February,2008,38
92,February,2008,39
75,February,2008,40
88,February,2008,41
218,February,2008,42
77,February,2008,43
83,February,2008,44
68,February,2008,45
75,February,2008,46
58,February,2008,47
62,February,2008,48
91,February,2008,49
61,February,2008,50
136,February,2009,1
231,February,2009,2
182,February,2009,3
101,February,2009,4
143,February,2009,5
174,February,2009,6
165,February,2009,7
205,February,2009,8
141,February,2009,9
123,February,2009,10
89,February,2009,11
69,February,2009,12
91,February,2009,13
99,February,2009,14
184,February,2009,15
157,February,2009,16
196,February,2009,17
106,February,2009,18
60,February,2009,19
199,February,2009,20
222,February,2009,21
70,February,2009,22
109,February,2009,23
211,February,2009,24
97,February,2009,25
115,February,2009,26
196,February,2009,27
312,February,2009,28
174,February,2009,29
98,February,2009,30
101,February,2009,31
123,February,2009,32
77,February,2009,33
183,February,2009,34
76,February,2009,35
85,February,2009,36
216,February,2009,37
77,February,2009,38
61,February,2009,39
73,February,2009,40
66,February,2009,41
252,February,2009,42
83,February,2009,43
91,February,2009,44
65,February,2009,45
80,February,2009,46
72,February,2009,47
57,February,2009,48
82,February,2009,49
73,February,2009,50
90,February,2010,1
197,February,2010,2
144,February,2010,3
100,February,2010,4
120,February,2010,5
165,February,2010,6
168,February,2010,7
161,February,2010,8
177,February,2010,9
99,February,2010,10
98,February,2010,11
65,February,2010,12
72,February,2010,13
81,February,2010,14
155,February,2010,15
193,February,2010,16
184,February,2010,17
104,February,2010,18
49,February,2010,19
203,February,2010,20
172,February,2010,21
66,February,2010,22
66,February,2010,23
219,February,2010,24
84,February,2010,25
103,February,2010,26
194,February,2010,27
283,February,2010,28
139,February,2010,29
78,February,2010,30
69,February,2010,31
90,February,2010,32
64,February,2010,33
179,February,2010,34
71,February,2010,35
68,February,2010,36
170,February,2010,37
60,February,2010,38
56,February,2010,39
65,February,2010,40
43,February,2010,41
237,February,2010,42
65,February,2010,43
55,February,2010,44
48,February,2010,45
85,February,2010,46
59,February,2010,47
45,February,2010,48
56,February,2010,49
57,February,2010,50
86,February,2011,1
178,February,2011,2
142,February,2011,3
78,February,2011,4
135,February,2011,5
174,February,2011,6
130,February,2011,7
139,February,2011,8
113,February,2011,9
94,February,2011,10
60,February,2011,11
76,February,2011,12
83,February,2011,13
96,February,2011,14
150,February,2011,15
151,February,2011,16
173,February,2011,17
76,February,2011,18
49,February,2011,19
191,February,2011,20
151,February,2011,21
63,February,2011,22
63,February,2011,23
204,February,2011,24
60,February,2011,25
83,February,2011,26
168,February,2011,27
224,February,2011,28
113,February,2011,29
91,February,2011,30
74,February,2011,31
93,February,2011,32
54,February,2011,33
156,February,2011,34
74,February,2011,35
67,February,2011,36
166,February,2011,37
51,February,2011,38
48,February,2011,39
41,February,2011,40
59,February,2011,41
205,February,2011,42
41,February,2011,43
81,February,2011,44
54,February,2011,45
39,February,2011,46
56,February,2011,47
68,February,2011,48
80,February,2011,49
54,February,2011,50
84,February,2012,1
210,February,2012,2
135,February,2012,3
88,February,2012,4
127,February,2012,5
202,February,2012,6
145,February,2012,7
164,February,2012,8
134,February,2012,9
102,February,2012,10
73,February,2012,11
62,February,2012,12
61,February,2012,13
89,February,2012,14
167,February,2012,15
158,February,2012,16
211,February,2012,17
106,February,2012,18
48,February,2012,19
160,February,2012,20
166,February,2012,21
64,February,2012,22
64,February,2012,23
206,February,2012,24
69,February,2012,25
90,February,2012,26
172,February,2012,27
296,February,2012,28
135,February,2012,29
89,February,2012,30
77,February,2012,31
80,February,2012,32
60,February,2012,33
165,February,2012,34
64,February,2012,35
59,February,2012,36
165,February,2012,37
57,February,2012,38
53,February,2012,39
72,February,2012,40
62,February,2012,41
210,February,2012,42
56,February,2012,43
58,February,2012,44
47,February,2012,45
81,February,2012,46
42,February,2012,47
61,February,2012,48
77,February,2012,49
55,February,2012,50
83,February,2013,1
171,February,2013,2
142,February,2013,3
55,February,2013,4
105,February,2013,5
194,February,2013,6
112,February,2013,7
123,February,2013,8
123,February,2013,9
75,February,2013,10
60,February,2013,11
59,February,2013,12
47,February,2013,13
78,February,2013,14
120,February,2013,15
151,February,2013,16
157,February,2013,17
74,February,2013,18
36,February,2013,19
147,February,2013,20
160,February,2013,21
80,February,2013,22
71,February,2013,23
228,February,2013,24
71,February,2013,25
84,February,2013,26
178,February,2013,27
240,February,2013,28
96,February,2013,29
91,February,2013,30
75,February,2013,31
66,February,2013,32
57,February,2013,33
119,February,2013,34
68,February,2013,35
55,February,2013,36
145,February,2013,37
52,February,2013,38
38,February,2013,39
56,February,2013,40
40,February,2013,41
178,February,2013,42
54,February,2013,43
63,February,2013,44
58,February,2013,45
66,February,2013,46
43,February,2013,47
42,February,2013,48
82,February,2013,49
55,February,2013,50
76,February,2014,1
179,February,2014,2
102,February,2014,3
64,February,2014,4
80,February,2014,5
120,February,2014,6
124,February,2014,7
94,February,2014,8
100,February,2014,9
71,February,2014,10
57,February,2014,11
51,February,2014,12
64,February,2014,13
60,February,2014,14
107,February,2014,15
130,February,2014,16
127,February,2014,17
59,February,2014,18
29,February,2014,19
116,February,2014,20
120,February,2014,21
56,February,2014,22
55,February,2014,23
177,February,2014,24
51,February,2014,25
56,February,2014,26
151,February,2014,27
223,February,2014,28
86,February,2014,29
51,February,2014,30
64,February,2014,31
69,February,2014,32
38,February,2014,33
116,February,2014,34
44,February,2014,35
44,February,2014,36
99,February,2014,37
49,February,2014,38
57,February,2014,39
49,February,2014,40
55,February,2014,41
189,February,2014,42
57,February,2014,43
58,February,2014,44
54,February,2014,45
57,February,2014,46
48,February,2014,47
41,February,2014,48
39,February,2014,49
44,February,2014,50
